,0
0,85.85869999999998
1,75.7494000000001
2,74.11449999999999
3,59.31030000000003
4,52.376700000000085
5,40.942000000000014
6,42.288599999999946
7,34.21400000000003
8,33.184300000000036
9,24.6904
10,18.086100000000002
11,10.791099999999988
12,7.114599999999999
13,3.4198000000000053
14,2.937399999999995
15,3.486599999999996
16,1.3070000000000008
17,1.2161999999999982
18,1.2237000000000002
19,1.2196999999999996
20,1.2171999999999998
21,1.2097999999999984
22,1.2144999999999984
23,1.2256000000000002
24,1.196299999999999
25,1.2031999999999994
26,1.2023000000000001
27,1.2092999999999987
28,1.224899999999998
29,1.2116999999999982
30,1.2086999999999988
31,1.202400000000001
32,1.1995999999999998
33,1.2130999999999994
34,1.228400000000001
35,1.2285000000000008
36,1.2216999999999993
37,1.2185999999999992
38,1.2268000000000008
39,1.2148999999999985
40,1.216999999999999
41,1.2082999999999984
42,1.2046999999999988
43,1.2054999999999985
44,1.1949999999999994
45,1.198900000000001
46,1.1969999999999994
47,1.2118999999999993
48,1.2322999999999982
49,1.2125999999999977
50,1.2163999999999988
51,1.2008999999999987
52,1.1988999999999996
53,1.1995000000000016
54,1.2001000000000017
55,1.216500000000001
56,1.1915000000000022
57,1.1970999999999994
58,1.1861999999999993
59,1.1937999999999995
60,1.1941999999999993
61,1.197500000000001
62,1.1909999999999987
63,1.192599999999999
64,1.1989000000000016
65,1.1994000000000016
66,1.2004000000000015
67,1.1924999999999994
68,1.1941000000000008
69,1.170399999999998
70,1.1686999999999983
71,1.1906000000000005
72,1.1915999999999995
73,1.1931000000000007
74,1.1903000000000017
75,1.2068000000000003
76,1.2093000000000003
77,1.2112000000000007
78,1.2120000000000004
79,1.2177000000000004
80,1.2122000000000008
81,1.1812999999999982
82,1.1986000000000006
83,1.2091999999999998
84,1.2105999999999986
85,1.2046000000000001
86,1.206399999999999
87,1.2075999999999987
88,1.1702000000000012
89,1.2079000000000006
90,1.2109999999999992
91,1.2042999999999986
92,1.2027000000000003
93,1.2006000000000014
94,1.2021000000000013
95,1.216699999999999
96,1.2144999999999986
97,1.2362999999999988
98,1.2279999999999993
99,1.2337999999999982
100,1.2357999999999982
101,1.220700000000001
102,1.2090000000000012
103,1.2146999999999997
104,1.204400000000001
105,1.2161999999999993
106,1.2307999999999981
107,1.222499999999999
108,1.219199999999998
109,1.2399
110,1.2374000000000003
111,1.2408000000000001
112,1.2351999999999983
113,1.2289999999999996
114,1.2194999999999978
115,1.2310999999999992
116,1.2320999999999982
117,1.2262999999999988
118,1.2306999999999995
119,1.2488000000000012
120,1.2288999999999997
121,1.214299999999998
122,1.2218999999999987
123,1.2360999999999986
124,1.2318000000000005
125,1.227500000000001
126,1.2257000000000007
127,1.2184999999999995
128,1.2118000000000004
129,1.2055000000000013
130,1.2338999999999998
131,1.2385999999999997
132,1.2298
133,1.2316000000000007
134,1.2497000000000016
135,1.2352000000000014
136,1.2311000000000012
137,1.2248000000000006
138,1.2237000000000002
139,1.2260000000000004
140,1.2246000000000006
141,1.2151999999999987
142,1.2274999999999985
143,1.200499999999999
144,1.2040000000000006
145,1.2226999999999997
146,1.2237
147,1.2156999999999984
148,1.2234999999999991
149,1.2383999999999995
150,1.2203999999999986
151,1.2132999999999996
152,1.2031999999999987
153,1.211599999999998
154,1.2409
155,1.2362000000000006
156,1.2319000000000002
157,1.2403999999999984
158,1.250500000000001
159,1.2303999999999997
160,1.2163999999999984
161,1.2407999999999995
162,1.2297000000000005
163,1.2237999999999993
164,1.206099999999999
165,1.2132999999999992
166,1.2198999999999989
167,1.2690000000000001
168,1.893400000000002
169,2.9965999999999986
170,4.448499999999997
171,12.189500000000011
172,17.7212
173,23.115300000000033
174,37.92800000000004
175,51.20300000000002
176,102.41090000000004
177,86.47139999999997
178,103.79049999999992
179,131.77329999999984
180,120.5996999999999
181,137.13109999999995
182,125.00380000000013
183,111.72639999999996
184,117.91029999999989
185,134.16739999999993
186,141.75669999999988
187,163.9175999999998
188,216.3535000000003
189,193.25799999999992
190,232.15929999999997
191,177.34989999999993
192,257.86950000000013
193,225.22950000000012
194,265.0307000000005
195,337.9242000000005
196,497.99820000000005
197,427.9931000000004
198,434.2299000000003
199,528.2038000000007
200,533.3232999999994
201,521.6459999999992
202,573.1973999999994
203,566.3500000000005
204,598.6246000000001
205,631.3027
206,659.4945999999998
207,673.131599999999
208,678.0266999999989
209,676.5258999999992
210,668.0775999999995
211,704.0033000000003
212,699.5832000000006
213,695.0891000000009
214,746.0244999999995
215,746.3497999999995
216,755.2507000000011
217,765.0678000000007
218,778.4835999999996
219,789.8840999999993
220,800.7059000000005
221,807.0201999999996
222,813.5923999999992
223,827.6091999999996
224,838.6390999999998
225,838.4991000000002
226,838.2829999999991
227,894.6057999999998
228,833.862500000001
229,833.8912000000009
230,846.5738000000015
231,902.8332999999991
232,882.9100999999993
233,932.4878999999986
234,928.126699999999
